iso3,var_short,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs,var_long,residence
SUR,s_sew_r,0.5934602083917426,0.39019031258761394,0.3909637809010912,2.919567632206601,0.22963631420494468,1,-0.5328983506832179,7.065796701366436,5.224679784726107,0.3057053559529529,2,4,Sewer,rural
SUR,s_sew_u,0.8652869805779931,0.7979304708669896,0.4116311235840403,12.846374972375376,0.06979196919291587,1,-0.7389491245483892,7.4778982490967785,5.63678133245645,0.33888036380611897,2,4,Sewer,urban
SUR,s_shared_r,0.7807951397773477,0.5615902795546954,1.9767246756381582,3.5619426457254337,0.31018973518727866,1,-4.6532209789421355,15.306441957884271,12.6022788238886,3.907440443276782,1,3,Shared,rural
SUR,s_shared_u,0.8774787462706579,0.7549574925413158,1.170264320114243,7.161849226658002,0.227657468324546,1,-3.080586080378922,12.161172160757843,9.457009026762172,1.3695185789324518,1,3,Shared,urban
SVK,s_imp_r,0.03525179856115328,-0.10256937307296776,0.5600176182810579,0.25577926920210453,0.6285681630561363,1,-6.421448560793026,18.842897121586052,19.43457085359471,2.195338129496321,7,9,Improved,rural
SVK,s_imp_u,2.1281250071520164e-4,-0.14261392857061117,0.12323922242678777,0.0014900045966106932,0.9702866478573375,1,7.203119360685475,-8.40623872137095,-7.814564989362292,0.10631534161051488,7,9,Improved,urban
SVK,s_shared_r,1,NA,NA,NA,NA,1,Inf,-Inf,-Inf,0,0,2,Shared,rural
SVK,s_shared_u,1,NA,NA,NA,NA,1,Inf,-Inf,-Inf,0,0,2,Shared,urban
SWE,s_imp_r,0.7338452025256547,0.6806142430307855,0.2843608547206804,13.78606002013528,0.013812484794914686,1,0.047661720831030874,5.904676558337938,5.742407005503877,0.4043054784873795,5,7,Improved,rural
SWE,s_imp_u,0.14522730427699285,-0.02572723486760853,0.1797038248721285,0.8495083254510881,0.39898240195146406,1,3.260199500326056,-0.5203990006521124,-0.682668553486173,0.1614673233683631,5,7,Improved,urban
SWE,s_sep_r,0.731110353051163,0.641480470734884,0.29109518463422324,8.156993339244575,0.06478674504333339,1,0.3528962450494777,5.294207509901044,4.122521247203345,0.25420921955169756,3,5,Septic,rural
SWE,s_sep_u,0.9475992853093856,0.9301323804125142,0.16956646511655518,54.25112754115434,0.005173257258462093,1,3.054922915596299,-0.10984583119259828,-1.2815320938902977,0.08625835827637178,3,5,Septic,urban
SWE,s_sew_r,0.9945513328670148,0.992735110489353,0.08728303719228932,547.5933702278523,1.7097620522943922e-4,1,6.375367092396482,-6.7507341847929645,-7.922420447490664,0.02285498574453168,3,5,Sewer,rural
SWE,s_sew_u,0.955331178914449,0.9404415718859319,0.20068244571824737,64.1609397135044,0.004061797700500189,1,2.212528854818801,1.5749422903623982,0.4032560276646988,0.12082033205837188,3,5,Sewer,urban
SWZ,s_imp_r,0.6214946258851499,0.5584103968660081,4.546922041035977,9.851822484769837,0.020099507922954903,1,-22.316384212255514,50.63276842451103,50.87109304955054,124.04700028355265,6,8,Improved,rural
